,state,city,count
1,CA,SAN FRANCISCO,11582
2,CA,SAN JOSE,10092
3,CA,SANTA CLARA,8344
4,CA,MOUNTAIN VIEW,7819
5,CA,SUNNYVALE,6409
6,NJ,EDISON,11380
7,NJ,SOUTH PLAINFIELD,8961
8,NJ,SECAUCUS,7236
9,NJ,EAST BRUNSWICK,6379
10,NJ,PISCATAWAY,5132
11,TX,PLANO,15983
12,TX,COLLEGE STATION,12412
13,TX,HOUSTON,8210
14,TX,IRVING,8088
15,TX,DALLAS,6687
16,NY,NEW YORK,28202
17,NY,BROOKLYN,1456
18,NY,BRONX,703
19,NY,ROCHESTER,663
20,NY,BUFFALO,542
21,IL,CHICAGO,21275
22,IL,SCHAUMBURG,1633
23,IL,NAPERVILLE,1071
24,IL,ARLINGTON HEIGHTS,619
25,IL,SPRINGFIELD,610
